
** get_Rfile_ascii_table_params: lline: 23
** get_Rfile_ascii_table_params: number of columns: 11 from header line:
['iteration', 'logPost', 'stepSize', 'cycleSpinRow', 'cycleSpinCol', 'smoothingParam0', 'smoothingParam1', 'smoothingParam2', 'smoothingParam3', 'smoothingParam4', 'expectedMSCounts']
** get_Rfile_ascii_table_params: lline: 226 ['203', '-1535.09', '52.63950264', '14', '20', '0.090335', '0.112688', '0.083040', '0.057120', '0.036482', '351.693']

** get_Rfile_ascii_table_params: lline: 227 ['204', '-1539.95', '-4.851393002', '21', '9', '0.064504', '0.142274', '0.151771', '0.077096', '0.088628', '296.114']

** get_Rfile_ascii_table_params: lline: 228 ['205', '-1549.4', '-9.456723292', '9', '8', '0.115058', '0.182858', '0.113869', '0.111078', '0.156767', '326.679']

** get_Rfile_ascii_table_params: lline: 229 ['206', '-1584.19', '-34.78655618', '6', '21', '0.085877', '0.146678', '0.090409', '0.092040', '0.051951', '368.215']

** get_Rfile_ascii_table_params: lline: 230 ['207', '-1628.7', '-44.51200635', '13', '15', '0.072852', '0.136978', '0.173517', '0.131903', '0.149312', '336.705']

** get_Rfile_ascii_table_params: lline: 231 ['208', '-1499.35', '129.3508854', '9', '4', '0.117531', '0.171990', '0.099521', '0.079397', '0.123176', '342.603']

** get_Rfile_ascii_table_params: lline: 232 ['209', '-1572.77', '-73.41772379', '17', '15', '0.094266', '0.133327', '0.083978', '0.152258', '0.091829', '363.303']

** get_Rfile_ascii_table_params: lline: 233 ['210', '-1545.49', '27.27335967', '17', '15', '0.075634', '0.117115', '0.139238', '0.120018', '0.091299', '358.895']

** get_Rfile_ascii_table_params: lline: 234 ['211', '-1515.29', '30.20452956', '15', '13', '0.101032', '0.131546', '0.100033', '0.125832', '0.111378', '358.022']

** get_Rfile_ascii_table_params: lline: 235 ['212', '-1583.29', '-67.99608161', '22', '6', '0.074715', '0.136893', '0.174549', '0.088223', '0.130417', '360.442']

** get_Rfile_ascii_table_params: lline: 236 ['213', '-1575.57', '7.712711132', '12', '12', '0.099062', '0.123718', '0.093105', '0.144958', '0.117855', '361.448']

** get_Rfile_ascii_table_params: lline: 237 ['214', '-1600.45', '-24.87669727', '2', '16', '0.073036', '0.161802', '0.175781', '0.081489', '0.145383', '330.137']

** get_Rfile_ascii_table_params: lline: 238 ['215', '-1556.94', '43.50976505', '23', '26', '0.097698', '0.099002', '0.107419', '0.090483', '0.095555', '365.133']

** get_Rfile_ascii_table_params: lline: 239 ['216', '-1514.61', '42.33003027', '22', '12', '0.095930', '0.125209', '0.064072', '0.068308', '0.156151', '343.376']

** get_Rfile_ascii_table_params: lline: 240 ['217', '-1485.4', '29.20908636', '16', '30', '0.072807', '0.114627', '0.108785', '0.119030', '0.096875', '379.777']

** get_Rfile_ascii_table_params: lline: 241 ['218', '-1539.34', '-53.94253613', '28', '16', '0.098084', '0.138048', '0.156383', '0.118647', '0.111758', '352.396']

** get_Rfile_ascii_table_params: lline: 242 ['219', '-1519.28', '20.06840993', '10', '12', '0.110391', '0.130119', '0.056803', '0.159394', '0.154520', '374.617']

** get_Rfile_ascii_table_params: lline: 243 ['220', '-1577.22', '-57.94288941', '4', '10', '0.159312', '0.131612', '0.129645', '0.112715', '0.100659', '327.853']

** get_Rfile_ascii_table_params: lline: 244 ['221', '-1606.83', '-29.6136173', '17', '6', '0.091288', '0.126781', '0.118885', '0.092367', '0.082708', '344.657']

** get_Rfile_ascii_table_params: lline: 245 ['222', '-1505.56', '101.2713151', '1', '27', '0.085359', '0.128654', '0.100505', '0.080524', '0.122173', '360.309']

** get_Rfile_ascii_table_params: lline: 246 ['223', '-1537.67', '-32.10736557', '13', '29', '0.081904', '0.136675', '0.127356', '0.117664', '0.098267', '346.29']

** get_Rfile_ascii_table_params: lline: 247 ['224', '-1564.65', '-26.98502917', '2', '25', '0.093713', '0.083367', '0.156599', '0.085645', '0.127201', '361.079']

** get_Rfile_ascii_table_params: lline: 248 ['225', '-1549.83', '14.82640716', '19', '25', '0.098380', '0.119039', '0.119108', '0.094788', '0.036392', '349.201']

** get_Rfile_ascii_table_params: lline: 249 ['226', '-1563.54', '-13.71186621', '3', '18', '0.104694', '0.070975', '0.105706', '0.120471', '0.099312', '336.95']

** get_Rfile_ascii_table_params: lline: 250 ['227', '-1539.16', '24.38292116', '18', '13', '0.067635', '0.140397', '0.133722', '0.146560', '0.105115', '294.502']

** get_Rfile_ascii_table_params: lline: 251 ['228', '-1457.4', '81.75092783', '15', '31', '0.086540', '0.111251', '0.169874', '0.158486', '0.068401', '342.13']

** get_Rfile_ascii_table_params: lline: 252 ['229', '-1514.68', '-57.27523423', '11', '1', '0.087895', '0.145738', '0.155799', '0.094188', '0.069883', '379.398']

** get_Rfile_ascii_table_params: lline: 253 ['230', '-1543.77', '-29.08601427', '9', '4', '0.070467', '0.140007', '0.060736', '0.079509', '0.119522', '330.953']

** get_Rfile_ascii_table_params: lline: 254 ['231', '-1499.97', '43.79621245', '15', '17', '0.059346', '0.126863', '0.117267', '0.139518', '0.084597', '352.657']

** get_Rfile_ascii_table_params: lline: 255 ['232', '-1516.85', '-16.88014248', '8', '0', '0.073108', '0.121076', '0.176620', '0.120673', '0.035094', '338.127']

** get_Rfile_ascii_table_params: lline: 256 ['233', '-1616.69', '-99.84031942', '2', '9', '0.082635', '0.164631', '0.148570', '0.138345', '0.068892', '317.467']

** get_Rfile_ascii_table_params: lline: 257 ['234', '-1513.08', '103.6115358', '0', '0', '0.083841', '0.120451', '0.125380', '0.083131', '0.063666', '350.361']

